Time (s),kx,ky,posX,posY,posZ
2.000, -0.500, -0.500, 0.000, 0.000, 0.227
2.020, -0.500, -0.500, -0.001, 0.001, 0.222
2.040, -0.500, -0.500, -0.005, 0.002, 0.218
2.060, -0.500, -0.500, -0.011, 0.001, 0.212
2.080, -0.500, -0.500, -0.018, -0.002, 0.205
2.100, -0.500, -0.500, -0.027, -0.005, 0.197
2.120, -0.500, -0.500, -0.037, -0.009, 0.189
2.140, -0.500, -0.500, -0.048, -0.012, 0.183
2.160, -0.500, -0.500, -0.059, -0.015, 0.176
2.180, -0.500, -0.500, -0.070, -0.018, 0.170
2.200, -0.500, -0.500, -0.081, -0.021, 0.165
2.220, -0.500, -0.500, -0.090, -0.023, 0.161
2.240, -0.500, -0.500, -0.098, -0.025, 0.157
2.260, -0.500, -0.500, -0.103, -0.025, 0.151
2.280, -0.500, -0.500, -0.108, -0.026, 0.143
2.300, -0.500, -0.500, -0.111, -0.030, 0.141
2.320, -0.500, -0.500, -0.113, -0.038, 0.139
2.340, -0.500, -0.500, -0.115, -0.047, 0.138
2.360, -0.500, -0.500, -0.115, -0.056, 0.138
2.380, -0.500, -0.500, -0.115, -0.065, 0.137
2.400, -0.500, -0.500, -0.116, -0.074, 0.136
2.420, -0.500, -0.500, -0.117, -0.083, 0.135
2.440, -0.500, -0.500, -0.118, -0.091, 0.134
2.460, -0.500, -0.500, -0.118, -0.098, 0.134
2.480, -0.500, -0.500, -0.117, -0.104, 0.133
2.500, -0.500, -0.500, -0.116, -0.109, 0.132
2.520, -0.500, -0.500, -0.114, -0.113, 0.131
2.540, -0.500, -0.500, -0.112, -0.115, 0.130
2.560, -0.500, -0.500, -0.110, -0.118, 0.129
2.580, -0.500, -0.500, -0.108, -0.119, 0.127
2.600, -0.500, -0.500, -0.106, -0.120, 0.125
2.620, -0.500, -0.500, -0.104, -0.121, 0.123
2.640, -0.500, -0.500, -0.104, -0.121, 0.122
2.660, -0.500, -0.500, -0.104, -0.121, 0.122
2.680, -0.500, -0.500, -0.104, -0.120, 0.124
2.700, -0.500, -0.500, -0.104, -0.118, 0.127
2.720, -0.500, -0.500, -0.104, -0.117, 0.130
2.740, -0.500, -0.500, -0.104, -0.116, 0.134
2.760, -0.500, -0.500, -0.103, -0.114, 0.138
2.780, -0.500, -0.500, -0.103, -0.113, 0.142
2.800, -0.500, -0.500, -0.102, -0.112, 0.147
2.820, -0.500, -0.500, -0.102, -0.111, 0.151
2.840, -0.500, -0.500, -0.101, -0.110, 0.157
2.860, -0.500, -0.500, -0.100, -0.109, 0.163
2.880, -0.500, -0.500, -0.099, -0.108, 0.170
2.900, -0.500, -0.500, -0.097, -0.108, 0.176
2.920, -0.500, -0.500, -0.097, -0.109, 0.179
2.940, -0.500, -0.500, -0.098, -0.111, 0.179
2.960, -0.500, -0.500, -0.102, -0.117, 0.177
2.980, -0.500, -0.500, -0.110, -0.126, 0.173
3.000, -0.500, -0.500, -0.121, -0.136, 0.168
3.020, -0.500, -0.500, -0.134, -0.147, 0.162
3.040, -0.500, -0.500, -0.149, -0.157, 0.154
3.060, -0.500, -0.500, -0.160, -0.168, 0.151
3.080, -0.500, -0.500, -0.172, -0.179, 0.147
3.100, -0.500, -0.500, -0.184, -0.187, 0.143
3.120, -0.500, -0.500, -0.195, -0.193, 0.140
3.140, -0.500, -0.500, -0.206, -0.196, 0.136
3.160, -0.500, -0.500, -0.216, -0.198, 0.131
3.180, -0.500, -0.500, -0.224, -0.198, 0.128
3.200, -0.500, -0.500, -0.231, -0.196, 0.126
3.220, -0.500, -0.500, -0.236, -0.192, 0.127
3.240, -0.500, -0.500, -0.241, -0.192, 0.129
3.260, -0.500, -0.500, -0.246, -0.194, 0.130
3.280, -0.500, -0.500, -0.250, -0.198, 0.131
3.300, -0.500, -0.500, -0.254, -0.201, 0.131
3.320, -0.500, -0.500, -0.258, -0.204, 0.132
3.340, -0.500, -0.500, -0.260, -0.207, 0.132
3.360, -0.500, -0.500, -0.261, -0.208, 0.132
3.380, -0.500, -0.500, -0.262, -0.210, 0.132
3.400, -0.500, -0.500, -0.262, -0.210, 0.132
3.420, -0.500, -0.500, -0.263, -0.210, 0.132
3.440, -0.500, -0.500, -0.263, -0.210, 0.132
3.460, -0.500, -0.500, -0.263, -0.209, 0.133
3.480, -0.500, -0.500, -0.263, -0.208, 0.133
3.500, -0.500, -0.500, -0.263, -0.206, 0.135
3.520, -0.500, -0.500, -0.263, -0.205, 0.138
3.540, -0.500, -0.500, -0.262, -0.204, 0.141
3.560, -0.500, -0.500, -0.260, -0.204, 0.145
3.580, -0.500, -0.500, -0.259, -0.205, 0.148
3.600, -0.500, -0.500, -0.261, -0.208, 0.151
3.620, -0.500, -0.500, -0.266, -0.213, 0.153
3.640, -0.500, -0.500, -0.272, -0.221, 0.153
3.660, -0.500, -0.500, -0.281, -0.231, 0.153
3.680, -0.500, -0.500, -0.290, -0.242, 0.152
3.700, -0.500, -0.500, -0.300, -0.254, 0.151
3.720, -0.500, -0.500, -0.309, -0.267, 0.151
3.740, -0.500, -0.500, -0.316, -0.279, 0.151
3.760, -0.500, -0.500, -0.322, -0.291, 0.151
3.780, -0.500, -0.500, -0.325, -0.301, 0.151
3.800, -0.500, -0.500, -0.326, -0.309, 0.150
3.820, -0.500, -0.500, -0.325, -0.315, 0.150
3.840, -0.500, -0.500, -0.322, -0.320, 0.148
3.860, -0.500, -0.500, -0.318, -0.324, 0.147
3.880, -0.500, -0.500, -0.313, -0.327, 0.145
3.900, -0.500, -0.500, -0.307, -0.330, 0.143
3.920, -0.500, -0.500, -0.301, -0.333, 0.141
3.940, -0.500, -0.500, -0.296, -0.335, 0.137
3.960, -0.500, -0.500, -0.292, -0.337, 0.135
3.980, -0.500, -0.500, -0.289, -0.339, 0.133
4.000, -0.500, -0.500, -0.287, -0.341, 0.134
4.020, -0.500, -0.500, -0.286, -0.341, 0.135
4.040, -0.500, -0.500, -0.285, -0.340, 0.137
4.060, -0.500, -0.500, -0.284, -0.339, 0.140
4.080, -0.500, -0.500, -0.283, -0.338, 0.144
4.100, -0.500, -0.500, -0.282, -0.336, 0.148
4.120, -0.500, -0.500, -0.282, -0.334, 0.152
4.140, -0.500, -0.500, -0.281, -0.332, 0.157
4.160, -0.500, -0.500, -0.281, -0.330, 0.163
4.180, -0.500, -0.500, -0.280, -0.327, 0.169
4.200, -0.500, -0.500, -0.279, -0.324, 0.175
4.220, -0.500, -0.500, -0.279, -0.322, 0.179
4.240, -0.500, -0.500, -0.281, -0.321, 0.181
4.260, -0.500, -0.500, -0.285, -0.321, 0.181
4.280, -0.500, -0.500, -0.293, -0.324, 0.177
4.300, -0.500, -0.500, -0.305, -0.330, 0.172
4.320, -0.500, -0.500, -0.320, -0.336, 0.165
4.340, -0.500, -0.500, -0.337, -0.344, 0.157
4.360, -0.500, -0.500, -0.352, -0.352, 0.151
4.380, -0.500, -0.500, -0.366, -0.361, 0.147
4.400, -0.500, -0.500, -0.381, -0.369, 0.144
4.420, -0.500, -0.500, -0.394, -0.374, 0.140
4.440, -0.500, -0.500, -0.407, -0.378, 0.135
4.460, -0.500, -0.500, -0.419, -0.380, 0.130
4.480, -0.500, -0.500, -0.431, -0.381, 0.125
4.500, -0.500, -0.500, -0.440, -0.383, 0.127
4.520, -0.500, -0.500, -0.445, -0.383, 0.129
4.540, -0.500, -0.500, -0.451, -0.384, 0.130
4.560, -0.500, -0.500, -0.455, -0.387, 0.131
4.580, -0.500, -0.500, -0.460, -0.390, 0.132
4.600, -0.500, -0.500, -0.464, -0.392, 0.132
4.620, -0.500, -0.500, -0.468, -0.395, 0.132
4.640, -0.500, -0.500, -0.470, -0.397, 0.132
4.660, -0.500, -0.500, -0.470, -0.398, 0.133
4.680, -0.500, -0.500, -0.470, -0.399, 0.133
4.700, -0.500, -0.500, -0.470, -0.399, 0.133
4.720, -0.500, -0.500, -0.470, -0.398, 0.133
4.740, -0.500, -0.500, -0.470, -0.397, 0.133
4.760, -0.500, -0.500, -0.470, -0.395, 0.134
4.780, -0.500, -0.500, -0.469, -0.393, 0.134
4.800, -0.500, -0.500, -0.469, -0.392, 0.136
4.820, -0.500, -0.500, -0.468, -0.390, 0.138
4.840, -0.500, -0.500, -0.466, -0.389, 0.141
4.860, -0.500, -0.500, -0.464, -0.389, 0.145
4.880, -0.500, -0.500, -0.462, -0.389, 0.148
4.900, -0.500, -0.500, -0.463, -0.390, 0.151
4.920, -0.500, -0.500, -0.468, -0.394, 0.154
4.940, -0.500, -0.500, -0.477, -0.399, 0.156
4.960, -0.500, -0.500, -0.489, -0.407, 0.157
4.980, -0.500, -0.500, -0.504, -0.416, 0.157
5.000, -0.500, -0.500, -0.520, -0.425, 0.156
5.020, -0.500, -0.500, -0.534, -0.434, 0.158
5.040, -0.500, -0.500, -0.545, -0.444, 0.158
5.060, -0.500, -0.500, -0.553, -0.454, 0.158
5.080, -0.500, -0.500, -0.559, -0.463, 0.157
5.100, -0.500, -0.500, -0.563, -0.471, 0.156
5.120, -0.500, -0.500, -0.564, -0.477, 0.156
5.140, -0.500, -0.500, -0.563, -0.482, 0.155
5.160, -0.500, -0.500, -0.560, -0.486, 0.153
5.180, -0.500, -0.500, -0.555, -0.489, 0.152
5.200, -0.500, -0.500, -0.549, -0.492, 0.151
5.220, -0.500, -0.500, -0.543, -0.495, 0.149
5.240, -0.500, -0.500, -0.537, -0.499, 0.147
5.260, -0.500, -0.500, -0.531, -0.502, 0.145
5.280, -0.500, -0.500, -0.527, -0.506, 0.143
5.300, -0.500, -0.500, -0.525, -0.510, 0.141
5.320, -0.500, -0.500, -0.523, -0.513, 0.140
5.340, -0.500, -0.500, -0.523, -0.515, 0.141
